stop_id,stop_code,stop_name,stop_lat,stop_lon
391,"s222","Valvasorjeva - Ruška","46.556902","15.626748"
392,"s223","Valvasorjeva - Ruška","46.556541","15.628123"
393,"s32","Vrbanska - šola","46.565929","15.633438"
394,"s33","Vrbanska - šola","46.566171","15.632983"
395,"s41","Vrbanska - vodovod","46.570028","15.627758"
396,"s42","Vrbanska - vodovod","46.570316","15.627311"
397,"s108","Vrtnarska - NC Supernova","46.544965","15.619133"
398,"s148","Vzpenjača","46.533221","15.599686"
399,"s314","Zagrebška - CSD","46.531882","15.664025"
400,"s315","Zagrebška - CSD","46.531271","15.665202"
401,"s312","Zagrebška - Kovinar","46.534441","15.658472"
402,"s313","Zagrebška - Kovinar","46.534721","15.658095"
403,"s353","Zg. Duplek","46.515357","15.717538"
404,"s287","Zimica - odcep","46.551326","15.743461"
405,"s586","Zimica - odcep","46.551379","15.743682"
406,"s318","Zolajeva - TŠC","46.525953","15.670998"
407,"s518","Zolajeva - TŠC","46.525900","15.670344"
408,"s382","Zrkovci","46.549582","15.700092"
409,"s378","Zrkovska - Gasilski dom","46.554347","15.676824"
411,"s578","Zrkovska - Gasilski dom","46.554349","15.676661"
412,"s383","Zrkovska - Na Gorci 54","46.546572","15.705258"
413,"s583","Zrkovska - Na Gorci 54","46.546532","15.705432"
414,"s584","Zrkovska - Na Gorci 65","46.544222","15.706825"
415,"s384","Zrkovska - Na Gorci 65","46.544223","15.706709"
416,"s380","Zrkovska - Na terasi","46.549787","15.694231"
417,"s381","Zrkovska - Na terasi","46.549674","15.694727"
418,"s579","Zrkovska - trgovina","46.550712","15.686665"
419,"s580","Zrkovska - trgovina","46.550678","15.687250"
420,"s379","Zrkovska cesta","46.552191","15.682277"
421,"s577","Zrkovska cesta","46.552228","15.682309"
422,"s155","Zvezna ulica","46.537056","15.596948"
423,"s4","ŽP Maribor","46.561852","15.656836"
424,"s3","ŽP Maribor","46.561728","15.656944"
425,"s220","ŽP Studenci","46.554505","15.635999"
426,"s221","ŽP Studenci","46.554546","15.635401"
427,"s310","ŽP Tezno","46.539888","15.650973"
428,"s311","ŽP Tezno","46.539447","15.651313"
429,"s603","Kamenškova","46.549534","15.611103"
432,"s609","Mladinska - Vrbanska","46.565157","15.634537"
433,"s611","Turnerjeva","46.563217","15.630418"
434,"s602","Kamenškova","46.548891","15.611291"
435,"s604","MČ Pobrežje","46.548691","15.667511"
441,"s614","Lesjakova 2","46.537168","15.592250"
442,"s615","Zvezna ulica","46.536090","15.596385"
443,"s622","Ob ribniku","46.539721","15.598561"
444,"s616","Bezjakova","46.540368","15.589466"
445,"s617","Lackova - Na gorco","46.545256","15.600470"
447,"s619","Lackova - Mlada lipa","46.540938","15.606056"
448,"s620","Lackova - Ul. Jelenčevih","46.547384","15.596941"
449,"s621","Lackova - Ul. Jelenčevih","46.547277","15.597380"
450,"s623","Trčova 168","46.542408","15.719173"
451,"s624","Trčova 168","46.542435","15.719209"
452,"s625","Mladinska - Trubarjeva","46.562953","15.643877"
453,"s626","Mladinska - muzej Maribor","46.563011","15.647843"
460,"s573","Šentiljska - TMI Košaki","46.571096","15.658169"
461,"s575","Šentiljska - veterinar","46.581055","15.663103"
462,"s704","Botanični vrt","46.507501","15.639463"
463,"s186","Lesjakova 1","46.538410","15.588516"
464,"s705","Podružnica Osnovna šola Franceta Prešerna","46.512917","15.635321"
527,"s627","Zrkovci - polje","46.536288","15.710143"
528,"s628","Zrkovci - polje","46.536410","15.710180"
533,"s633","P&R Koroški most","46.561231","15.627061"
534,"s634","Univerzitetni kampus","46.564271","15.623099"
535,"s635","Univerzitetni kampus","46.564796","15.623180"
536,"s636","P&R Koroški most","46.561176","15.627064"
537,"s637","Dvorana Tabor - Gorkega","46.548779","15.636555"
538,"s638","Rošpoh - vrtovi","46.608633","15.626059"
539,"s640","Morski jarek - Kozjak","46.609465","15.632868"
540,"s639","Rošpoh - vrtovi","46.608627","15.625915"
541,"s641","Belokranjska ulica 10","46.543840","15.652730"
542,"s642","Europark Titov most","46.554492","15.650439"
